district,RMSE,RMSE_MONSOON,RMSE_NON_MONSOON
Alipurduar,12.647191047668457,19.711380004882812,6.859014987945557
Bankura,5.066691555976868,6.801033854484558,3.9376395177841186
Birbhum,4.876335082054138,6.138787822723389,4.1121836328506465
Cooch Behar,11.331830978393555,16.920679092407227,7.1006903648376465
Dakshin Dinajpur,6.712558746337891,8.947251319885254,5.270059585571289
Darjeeling,10.778548240661621,16.91815185546875,5.673304557800293
Hooghly,6.652977466583252,8.355522155761719,5.625030994415283
Howrah,7.0958757400512695,9.072775840759277,5.879087448120117
Jalpaiguri,11.705484390258789,18.373775482177734,6.1601786613464355
Jhargram,5.616144475936889,7.590473213195801,4.319991116523743
Kalimpong,12.037549018859863,19.538511276245117,5.28351354598999
Kolkata,7.602300643920898,10.36445426940918,5.769131660461426
Maldah,5.694772338867187,7.701143131256103,4.376651101112365
Murshidabad,4.9750893115997314,6.15671175956726,4.2725399351119995
Nadia,6.862679481506348,9.197011947631836,5.345998287200928
North 24 Parganas,7.073217391967773,9.268202781677246,5.684510707855225
Paschim Bardhaman,4.733974485397339,6.249305491447449,3.766952662467957
Paschim Medinipur,6.599664688110352,8.339375495910645,5.542436122894287
Purba Bardhaman,5.3474662971496585,6.750548057556152,4.495689339637757
Purba Medinipur,6.807401180267334,8.722593307495117,5.625823020935059
Purulia,4.90132098197937,6.831964530944824,3.5824733448028563
South 24 Parganas,7.339308261871338,9.619575500488281,5.896175861358643
Uttar Dinajpur,6.891709327697754,9.978628158569336,4.6661810874938965
