station_id,RMSE,MAE,Bias,NRMSE
AKRIGANJ,6.4835634,3.4035254,0.27086103,1.5827067481439128
ALGARAH,12.916238,5.9477763,-0.11787394,1.3552674884034364
ALIPUR,7.6023006,3.5033474,-0.24357486,1.6683297634205143
ALIPURDUAR,13.995602,6.3264313,0.8763006,1.5444197675199705
ALIPURDUAR(CWC),14.003246,6.317963,0.83725065,1.5452633578132329
ALSHA,6.0639434,3.129767,0.26113755,1.5442705510602812
AMBIKANAGAR,6.2913127,3.1844244,0.22585383,1.6869945993016162
AMLAGORA,6.6738925,3.2877648,0.053834178,1.6799008295154763
AMTA,7.3223352,3.4859676,-0.03820164,1.7230315284353184
AMTALA,6.6119676,3.423398,0.1770154,1.6059715974086632
ARAMBAGH,6.9381943,3.3669083,-0.013973784,1.688130537781779
ARHARA,6.193266,3.1398304,0.2737696,1.6644022872585662
ASANSOL,5.3882604,2.9982297,0.4482545,1.5106045235973786
ASANSOLE %A,5.398691,2.9610214,0.4576019,1.51750583916048
AZIMGANJ,6.2738123,3.3047888,0.28540197,1.546251358086014
BAGATI,7.3337383,3.4478571,-0.1349673,1.6453769762380834
BAGDOGRA,11.579255,5.9114714,2.2353866,1.6210934469023652
BAGDOGRA AERO,11.579255,5.9114723,2.2353873,1.6210934469023652
BAGMANDI,6.2206116,3.207132,0.5569847,1.6394022305617764
BAGROKOTE,12.934579,6.142422,1.2124928,1.5653947993056232
BALAGARH,8.058169,3.561102,-0.11643469,1.8100426123495628
BALICHAK,7.2292523,3.3823977,-0.06778389,1.7112524221173209
BALURGHAT,8.331473,4.007389,-0.2738747,1.5938509079254015
BAMONGOLA,7.104857,3.63412,0.39673737,1.5952310023084992
BANDWAN,6.3587127,3.191651,0.43468067,1.76772848127429
BANKURA,6.2969193,3.1872234,0.13110197,1.6432734469282377
BANKURA(CWC),6.2969193,3.1872232,0.13110182,1.6432734469282377
BANSHIHARI,7.00928,3.626738,0.5596506,1.6225256477555814
BARABAZAR,6.406035,3.2179482,0.33447376,1.71657879073618
BARASAT,7.3155327,3.5049212,-0.17717001,1.6188651030913581
BARHAMPORE,6.3368053,3.3306575,0.24309577,1.5473680321738241
BARJORA,6.010856,3.1379223,0.103285775,1.5427035215831957
BARNIPUR,7.9040923,3.545078,-0.34922054,1.6896547830973245
BAROBHISHA,15.150919,6.669328,0.27610034,1.546709592758681
BARRACKPORE,7.0685153,3.46542,-0.16547935,1.5750104253741362
BARRACKPUR(IAF),7.0685143,3.4654193,-0.16547881,1.5750102128759063
BASIRHAT,7.9361653,3.5237927,-0.37607634,1.6758904185101844
