station_id,RMSE,MAE,Bias,NRMSE
AKRIGANJ,6.409713,3.2839127,0.16011569,1.5646790239528043
ALGARAH,12.515793,6.114739,0.26638636,1.313249830057678
ALIPUR,7.4267745,3.433798,-0.27166915,1.6298104386958414
ALIPURDUAR,13.920726,6.583853,1.4462421,1.5361571920839774
ALIPURDUAR(CWC),13.92165,6.571433,1.4097302,1.536259168006404
ALSHA,5.9357047,3.0395634,0.24210308,1.5116127240819175
AMBIKANAGAR,6.191912,3.0464735,0.3785157,1.6603406799850915
AMLAGORA,6.562677,3.188187,0.14437348,1.6519064972191502
AMTA,7.140704,3.3702676,-0.028906316,1.6802915989981753
AMTALA,6.498251,3.2875872,0.06238128,1.57835113016786
ARAMBAGH,6.781523,3.2505956,0.056119397,1.6500109394102929
ARHARA,6.0604796,3.0244715,0.3908643,1.6287167893119843
ASANSOL,5.2303433,2.864048,0.5238266,1.4663323183376724
ASANSOLE %A,5.2567124,2.8412688,0.53378564,1.4775973574639951
AZIMGANJ,6.220661,3.181683,0.14886296,1.5331516662016227
BAGATI,7.284473,3.3648162,-0.2248172,1.6343239326123642
BAGDOGRA,11.0474,5.6716375,1.8448132,1.5466339029277814
BAGDOGRA AERO,11.0474,5.6716366,1.8448129,1.5466339029277814
BAGMANDI,6.054305,3.0881495,0.4354425,1.5955732216636562
BAGROKOTE,12.769294,6.0042515,0.9411085,1.5453913299675748
BALAGARH,8.034529,3.4781876,-0.21424936,1.8047324047199815
BALICHAK,7.10306,3.3025243,-0.036072366,1.6813810978780364
BALURGHAT,8.285329,3.9523108,-0.34443748,1.5850232460013234
BAMONGOLA,7.005584,3.6089852,0.40283802,1.5729415044740005
BANDWAN,6.221626,3.0404267,0.5270706,1.7296181948164766
BANKURA,6.147778,3.0469294,0.26275906,1.6043528345134686
BANKURA(CWC),6.147778,3.0469294,0.2627591,1.6043528345134686
BANSHIHARI,6.926342,3.6108913,0.55407745,1.6033269078767092
BARABAZAR,6.2567205,3.0668607,0.40084946,1.6765680913877243
BARASAT,7.2104692,3.4333258,-0.26884398,1.595615458615557
BARHAMPORE,6.276753,3.2036936,0.09410601,1.5327039939031792
BARJORA,5.8781896,3.0507488,0.19302492,1.508654260200138
BARNIPUR,7.757825,3.4808865,-0.38176516,1.6583872540652131
BAROBHISHA,14.7888365,6.7656646,0.5956259,1.5097457327588772
BARRACKPORE,6.96485,3.3796308,-0.25484806,1.5519116552654648
BARRACKPUR(IAF),6.964851,3.3796313,-0.2548482,1.551911867763695
BASIRHAT,7.8298655,3.4710047,-0.418913,1.6534429343459602
BASIRHAT(DEPT),8.389315,3.6526,-0.48011377,1.7602557120333404
BHAGWANPUR,7.641642,3.436239,-0.12800704,1.7478905504282707
BHARATPUR,6.1965704,3.0717068,0.120723754,1.544173346815489
BHUTANGHAT/T.T.E,12.233519,5.7693677,0.9246149,1.4456206298903147
BIJANBARI,15.178321,7.4858484,-0.78877676,1.4275740112456108
BOINCHEE,7.1864176,3.342223,-0.122748256,1.6588526592685342
BOLPUR,6.346796,3.117381,0.17856285,1.6127160905770186
BONGAON,10.380844,3.7912362,-0.48662117,2.178185236666016
BUDGE BUDGE,7.2451353,3.3911166,-0.23047978,1.6117073081220497
BURDAWAN,6.805175,3.2097814,0.1745407,1.7085719039948193
BURDWAN,6.805175,3.209781,0.1745407,1.7085719039948193
BURNPUR,5.230344,2.8640487,0.52382594,1.4663324520194767
BUXA,15.0350275,6.6390147,0.51180065,1.4792949926817445
BUXADUR,15.0882635,6.6342573,0.45973346,1.484532878650762
CANNING,7.8311787,3.529138,-0.44240075,1.638301379741552
CHAKDAH,8.035321,3.4913995,-0.20698233,1.8049104184575337
CHAMPASARI,12.45324,5.948442,1.0050315,1.50495250977324
CHANCHAL,7.113357,3.6588051,0.5650636,1.6352494975557226
CHANDIPUR,6.446977,3.2958813,0.11001725,1.573775647172741
CHANDITALA,6.806004,3.3240368,-0.18718795,1.540787626644681
CHANDRAKONA,6.753732,3.2373915,0.095699124,1.6639400934629653
CHATNA,5.882101,2.9858844,0.28557923,1.5438780655647073
CHEL,12.401662,5.9757767,1.3556657,1.5455641830940432
CHENGMARI/DIANA,13.106352,6.0723457,0.29177028,1.2732407978815699
CHEPAN,13.325369,6.7565265,0.29818654,1.3596887474204662
CHINSURA,7.113859,3.3906705,-0.23451506,1.592397808094722
CHOPRA,10.561831,5.4148355,1.8618143,1.5003947030991407
CONTAI,9.336925,3.5939915,-0.11807669,2.127349685896923
COOCH BEHAR AERO,13.091657,6.6860266,0.6723299,1.3672834496856032
D.P.GHAT,6.7239647,3.2399075,0.15481481,1.6992013497666372
DALKOLA (FCS),7.430472,3.7124512,0.44495332,1.527269838370352
DAMOHANI,12.705182,6.189473,1.4110467,1.5001521763436194
DANTAN,7.1565504,3.2910712,-0.04041441,1.6793846941509587
DANTEN,7.1565537,3.2910705,-0.040414833,1.6793854774265393
DARJEELING,13.332295,6.481854,-0.42976788,1.3208629472463367
DEBAGRAM,6.821366,3.32222,0.010261076,1.6356855502114123
DEGANGA,7.5011454,3.4944623,-0.29743844,1.6471589687913064
DEULI,5.682775,2.9594998,0.23990743,1.4765923860965078
DHANIAKHALI,6.761943,3.2123752,0.013038209,1.6156411710597363
DHUPGURI,12.780864,6.275345,1.2078952,1.375086194426153
DIAMOND HARBOUR,7.80369,3.4005756,-0.22287004,1.7346808502952398
DIGHA,9.573415,3.6384642,-0.48877308,2.01281783130676
DINHATA,12.39323,6.473118,0.92395294,1.369164191627919
